Age_teen,Gender_teen,Country_teen,School_Grade,Avg_Daily_Usage_Hours_teen,Sleep_Hours_Per_Night_teen,Affects_Academic_Performance_teen,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addicted_Score_teen,Age_social,Gender_social,Academic_Level,Country_social,Avg_Daily_Usage_Hours_social,Most_Used_Platform,Affects_Academic_Performance_social,Sleep_Hours_Per_Night_social,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score_social
18,Female,Franciston,11th,6.8,10,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1,2,Social Media,10,7.6,9.8,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8
18,Female,Candacemouth,8th,7,8,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
16,Male,West Lisaview,8th,5.8,7.2,88,5,1,9,9,2,0,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7
17,Other,Jamesbury,12th,4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2,Browsing,8,11,10,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8
19,Other,Hickschester,12th,4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5
18,Male,West Erikashire,12th,4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,Education,1,3.9,9.7,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7
19,Male,South Taylortown,8th,6.3,3,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
15,Male,New Gregstad,9th,5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
13,Female,Morganshire,8th,6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2,1.1,Gaming,9,8.7,10,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
17,Female,West Michael,9th,5.8,7,76,8,1.7,5,5,5,1,1.7,116,19,3,2.2,2.2,Education,9,3.3,10,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8
19,Other,Gonzalezland,7th,5.1,7,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7,7,In Relationship,2,5
13,Other,East Thomas,8th,5.2,6,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0,1.2,Gaming,6,3.7,10,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7
13,Male,Antoniohaven,11th,4.8,8.6,78,8,0,3,3,10,1,1,51,9,3,2.4,1.6,Social Media,7,7.1,8.7,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
19,Male,Lake Susanport,11th,4.3,4.3,91,6,0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3,21,Male,Graduate,Georgia,3,LinkedIn,No,7.1,8,In Relationship,1,4
19,Female,North Cristina,7th,7.6,6.4,88,4,0,6,4,8,0,1.8,77,15,4.6,0,0,Gaming,7,7.1,10,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7
17,Female,Lake Adrianberg,7th,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
15,Other,Sarahfurt,10th,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
19,Other,Marktown,9th,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0,Social Media,1,7.6,10,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8
16,Male,South Tonyton,12th,3.8,5.1,85,1,0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7
13,Other,Lake Nancy,10th,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2,0.9,Other,1,4.1,10,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8
19,Female,Kevinport,8th,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4
14,Male,South Adamside,11th,3,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1,Other,9,6.7,8.6,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,Complicated,3,7
19,Other,East Andrewport,12th,4,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0,Gaming,3,7.4,9.9,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
16,Other,Craigstad,12th,8.1,6.8,59,1,0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10,22,Male,Graduate,Montenegro,2.9,Facebook,No,7,7,In Relationship,2,5
17,Male,Guerrafort,12th,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1,Other,5,8.1,10,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7
18,Other,Parsonsfurt,7th,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
15,Male,Port Maryborough,8th,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
18,Female,Sherryton,9th,6.4,10,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4
17,Male,Wilsonton,9th,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7
18,Female,Lake Adamfort,10th,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8
16,Male,East Patrickburgh,8th,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4
18,Female,East Lynn,9th,2.8,7,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1,0.6,Social Media,10,8.2,5.1,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7
16,Female,East Derrick,8th,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1,Other,7,6.7,8.8,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8
17,Male,East Wendymouth,9th,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9
14,Other,Port Pamelatown,8th,2.2,5.1,69,7,1,6,3,8,1,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4
13,Female,Harrisbury,11th,4.1,6.3,57,3,2,5,3,7,0,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7
13,Male,Taraland,11th,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8
18,Female,South Shelleyfort,8th,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0,0,Education,7,6.7,6.6,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7,7,Complicated,2,5
19,Other,East Angelaland,10th,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1,0.9,Gaming,4,7.4,8,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7
13,Male,South Josephstad,7th,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0,1.5,Gaming,7,6.6,7.1,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6
15,Other,Rhondafurt,7th,7.3,5,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Gaming,4,8,10,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8
18,Female,Jaredmouth,11th,4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4
15,Other,North Cherylburgh,9th,2,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2,1.3,1.4,Other,1,4.4,5.7,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7
14,Male,Bentleytown,9th,1.6,6.1,70,7,0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8
18,Other,East Pamelaside,9th,2,7.5,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7
16,Male,Loveberg,10th,3,4.7,51,10,3,1,8,1,1,0.3,42,18,1.7,3.3,0,Education,3,6.7,10,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5
15,Female,Port Veronicamouth,9th,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6,5,Single,4,8
16,Other,Port Samanthaberg,8th,5.5,5.4,63,8,0,5,10,3,1,2,72,14,1.4,0,0.8,Other,1,8.3,8.4,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
15,Female,Robertshire,11th,6.6,9.5,53,5,1,8,4,1,0,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5
19,Other,South Brittanychester,12th,8.3,5.7,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10,21,Male,Graduate,Bangladesh,6,Facebook,Yes,5.8,5,In Relationship,4,8
